Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20142016","2014-2016","%","1.1","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20152017","2015-2017","%","1","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","0.9","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","0.8","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","0.8","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","0.7","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20142016","2014-2016","%","5.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20152017","2015-2017","%","5.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","6.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","5.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","6.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","5.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20142016","2014-2016","%","5.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20152017","2015-2017","%","6.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","6.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","6.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","7.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","6.8","E","Estimated value",""
